,USP33,USP39,FBXO22,DDIT4,RGS5,EI
TCGA-DM-A1D8-01A-11R-A155-07,18.2442,47.2958,5.7863,15.2702,12.3255,0.08370404
TCGA-A6-6782-01A-11R-1839-07,15.8074,40.7692,5.1075,59.907,36.4225,0.59702614
TCGA-CA-6716-01A-11R-1839-07,29.5846,64.9307,10.6521,46.8796,37.5598,0.26689386
TCGA-A6-6141-01A-11R-1774-07,22.7988,38.4253,6.3815,55.2811,14.2294,0.14126898
TCGA-CM-6679-01A-11R-1839-07,25.9434,47.2515,6.1725,39.2034,55.1422,0.25153236
TCGA-CM-5348-01A-21R-1723-07,42.4675,48.2036,8.2967,40.6642,84.2564,0.30224597
TCGA-A6-5662-01A-01R-1653-07,27.6625,85.5085,10.4796,28.7948,48.766,0.20159974
TCGA-AY-6197-01A-11R-1723-07,28.8557,54.186,9.0751,193.614,33.3025,0.23779078
TCGA-AY-5543-01A-01R-1653-07,23.1561,52.9118,5.8548,110.3544,29.8829,0.12680542
TCGA-F4-6463-01A-11R-1723-07,28.9441,53.9206,7.9413,38.2167,95.5855,0.45209154
TCGA-A6-5661-01A-01R-1653-07,37.3375,68.1624,13.5948,182.143,10.391,0.09251213
TCGA-D5-5538-01A-01R-1653-07,39.3274,62.6387,7.4165,42.1886,11.7789,0.26325696
TCGA-G4-6314-01A-11R-1723-07,20.1489,63.8611,8.2469,168.7191,72.2922,0.43172945
TCGA-DM-A1D4-01A-21R-A155-07,11.8563,44.7209,3.9135,61.1982,11.2067,0.08047239
TCGA-D5-7000-01A-11R-A32Z-07,39.8324,47.7579,10.6666,130.7026,25.8111,0.23554516
TCGA-G4-6320-01A-11R-1723-07,20.1241,50.7327,5.2527,76.4636,7.0143,0.05041473
TCGA-NH-A6GC-01A-12R-A41B-07,18.6166,40.971,3.0625,8.028,22.2756,0.11415118
TCGA-AZ-4614-01A-01R-1410-07,24.6701,96.2519,12.5653,30.4581,14.4276,0.10860322
TCGA-G4-6304-01A-11R-1928-07,21.6485,49.7324,11.0993,39.8279,1.6812,0.04516969
TCGA-DM-A1D0-01A-11R-A155-07,24.8494,61.7943,4.3168,42.9332,13.4905,0.08014582
TCGA-CK-6746-01A-11R-1839-07,47.0098,69.4573,9.9673,27.6357,6.8605,0.07241225
TCGA-CM-6165-01A-11R-1653-07,36.9038,64.7386,7.3295,28.801,109.9218,0.41139321
TCGA-AZ-6605-01A-11R-1839-07,23.888,46.8706,6.8576,61.9753,103.036,0.61280753
TCGA-5M-AATE-01A-11R-A41B-07,22.5906,65.024,4.4014,39.5556,27.0956,0.09369397
TCGA-QL-A97D-01A-12R-A41B-07,25.5844,55.4793,5.9266,28.1564,31.2425,0.16150364
TCGA-AA-A02Y-01A-43R-A32Y-07,13.8589,33.0171,7.8499,136.7008,4.1411,0.02053593
